id,relevance
1,2.35
4,2.35
5,2.37
6,2.39
7,2.41
8,2.35
10,2.41
11,2.41
12,2.37
13,2.39
14,2.44
15,2.41
19,2.37
22,2.37
24,2.39
25,2.37
26,2.35
28,2.37
29,2.35
30,2.35
31,2.39
32,2.37
33,2.35
36,2.39
39,2.35
40,2.37
41,2.35
42,2.37
43,2.41
44,2.39
45,2.41
46,2.39
47,2.37
49,2.39
50,2.35
52,2.35
53,2.37
54,2.35
55,2.41
56,2.37
57,2.35
58,2.41
59,2.39
60,2.35
61,2.37
62,2.37
63,2.37
64,2.37
66,2.39
67,2.39
68,2.35
70,2.35
71,2.37
72,2.35
73,2.35
74,2.35
76,2.35
77,2.35
78,2.35
79,2.35
80,2.35
82,2.37
83,2.37
84,2.35
86,2.39
87,2.37
89,2.35
91,2.35
93,2.35
94,2.35
95,2.35
96,2.35
97,2.35
98,2.35
99,2.35
100,2.39
102,2.37
103,2.35
104,2.35
107,2.35
108,2.35
109,2.37
110,2.39
111,2.39
112,2.35
115,2.35
116,2.39
118,2.37
119,2.41
121,2.39
124,2.37
126,2.37
128,2.37
129,2.39
130,2.37
131,2.37
132,2.37
133,2.39
134,2.37
135,2.39
137,2.37
139,2.37
140,2.35
141,2.35
142,2.35
144,2.37
145,2.39
146,2.35
148,2.35
151,2.37
152,2.35
153,2.35
154,2.35
155,2.35
156,2.35
159,2.35
160,2.35
161,2.37
163,2.39
167,2.35
168,2.37
169,2.35
170,2.37
171,2.37
173,2.35
174,2.35
175,2.35
176,2.35
180,2.35
183,2.35
184,2.35
185,2.35
187,2.41
188,2.35
189,2.35
190,2.35
192,2.35
194,2.37
196,2.35
197,2.35
198,2.37
199,2.35
200,2.37
204,2.41
206,2.37
207,2.37
208,2.37
209,2.37
211,2.37
212,2.37
213,2.37
216,2.37
217,2.41
218,2.37
219,2.39
220,2.37
221,2.37
222,2.37
224,2.35
225,2.37
228,2.37
229,2.39
230,2.42
231,2.37
232,2.37
234,2.35
235,2.37
236,2.39
237,2.37
238,2.39
239,2.37
