id,relevance
1,1.97
4,2.11
5,2.38
6,2.3
7,2.61
8,2.24
10,2.52
11,2.52
12,2.28
13,2.4
14,2.6
15,2.56
19,2.35
22,2.35
24,2.49
25,2.34
26,2.11
28,2.39
29,2.24
30,2.25
31,2.42
32,2.35
33,2.26
36,2.49
39,2.11
40,2.35
41,2.11
42,2.35
43,2.58
44,2.4
45,2.54
46,2.5
47,2.36
49,2.42
50,2.25
52,2.11
53,2.39
54,2.24
55,2.53
56,2.38
57,2.24
58,2.58
59,2.4
60,2.11
61,2.35
62,2.35
63,2.61
64,2.36
66,2.32
67,2.33
68,2.24
70,2.11
71,2.35
72,2.11
73,2.11
74,2.11
76,2.24
77,2.11
78,2.11
79,2.11
80,2.11
82,2.35
83,2.35
84,2.24
86,2.38
87,2.35
89,2.12
91,2.11
93,2.11
94,1.97
95,1.97
96,2.11
97,2.11
98,2.25
99,2.11
100,2.3
102,2.35
103,2.11
104,2.11
107,2.11
108,1.97
109,2.41
110,2.38
111,2.38
112,2.24
115,2.24
116,2.42
118,2.38
119,2.56
121,2.4
124,2.33
126,2.23
128,2.35
129,2.82
130,2.23
131,2.28
132,2.28
133,2.42
134,2.06
135,2.37
137,2.35
139,2.41
140,2.11
141,2.24
142,2.25
144,2.35
145,2.42
146,2.24
148,2.11
151,2.35
152,2.24
153,2.24
154,2.11
155,2.11
156,2.11
159,2.24
160,2.11
161,2.36
163,2.49
167,2.25
168,2.35
169,2.11
170,2.35
171,2.39
173,2.25
174,2.25
175,2.25
176,2.11
180,2.24
183,2.25
184,2.24
185,2.24
187,2.43
188,2.11
189,2.11
190,2.25
192,2.24
194,2.39
196,2.24
197,2.11
198,2.35
199,2.11
200,2.35
204,2.56
206,2.35
207,2.38
208,2.34
209,2.33
211,2.34
212,2.34
213,2.35
216,2.46
217,2.59
218,2.35
219,2.42
220,2.39
221,2.35
222,2.39
224,2.11
225,2.39
228,2.35
229,2.42
230,2.63
231,2.35
232,2.35
234,2.11
235,2.23
236,2.42
237,2.35
238,2.42
239,2.39
240,2.35
242,2.56
243,2.35
244,2.59
246,2.24
247,2.24
248,2.24
249,2.33
250,2.24
251,2.12
252,2.24
253,2.24
254,2.5
256,2.38
258,2.11
260,2.24
262,2.39
263,2.36
264,1.97
265,1.97
267,2.35
268,2.39
269,2.2
271,2.42
273,2.39
274,2.39
277,2.35
278,2.35
279,2.11
280,2.39
281,2.35
282,2.4
283,2.35
285,2.11
286,2.11
287,2.11
288,2.39
289,2.39
291,2.35
292,2.35
295,2.24
296,2.24
298,2.35
299,2.35
300,2.42
301,2.63
302,2.42
303,2.26
304,2.24
306,2.54
307,2.3
308,2.36
309,2.32
310,2.38
311,2.34
312,2.32
313,2.4
315,2.33
