,product_uid,material
8,100001.0,Galvanized Steel
67,100003.0,Composite
202,100007.0,Plastic
255,100009.0,Medium Density Fiberboard (MDF)
282,100010.0,Steel
362,100012.0,Bamboo
404,100014.0,Plastic
422,100015.0,Bamboo
456,100017.0,Aluminum
476,100018.0,Plastic
491,100019.0,Medium Density Fiberboard (MDF)
615,100023.0,Concrete
660,100026.0,Concrete
694,100028.0,Wood
728,100030.0,Steel
754,100032.0,PVC
768,100033.0,Wire
778,100034.0,Tampico
819,100036.0,Metal
835,100037.0,Fabric
901,100039.0,Steel
928,100040.0,Vinyl
988,100042.0,Vitreous China
1008,100043.0,Grout
1024,100044.0,Acrylic
1047,100045.0,Metal
1071,100046.0,Metal
1089,100047.0,Steel
1114,100048.0,Aluminum
1272,100054.0,Steel
1382,100059.0,Ceramic
1399,100060.0,Vinyl
1487,100064.0,Vinyl
1522,100065.0,Ceramic
1681,100071.0,Galvanized Steel
1704,100073.0,Fabric
1775,100075.0,Bamboo
1808,100076.0,Wood
1835,100077.0,Iron
1942,100080.0,Steel
1967,100081.0,Composite
1996,100082.0,Metal/ Slate
2014,100083.0,Plastic
2064,100085.0,Vinyl
2148,100088.0,Aluminum
2443,100096.0,Medium Density Fiberboard (MDF)
2506,100098.0,Plastic
2518,100099.0,Aluminum
2540,100100.0,Aluminum
2741,100108.0,Vitreous China
2862,100115.0,Composite
2929,100117.0,Asian hardwood legs with Asian hardwood veneer over MDF
3049,100122.0,Steel
3063,100123.0,Plastic
3153,100128.0,Polyethylene
3197,100131.0,Plastic
3258,100134.0,Other
3319,100136.0,Vitreous China
3472,100142.0,Steel
3549,100145.0,Composite
3575,100146.0,Vinyl
3602,100147.0,Fiberglass
3621,100148.0,Fiberglass
3785,100155.0,Bamboo
3861,100158.0,Ceramic
3992,100164.0,"steel, wood"
4017,100165.0,Wood
4049,100167.0,Steel
4119,100170.0,Steel
4303,100177.0,Metal
4376,100181.0,Medium Density Fiberboard (MDF)
4426,100183.0,Fiberglass
4446,100184.0,Steel
4471,100185.0,Metal
4530,100188.0,Steel
4555,100189.0,MDF / Composite Wood
4585,100190.0,Manufactured from laminated particle board
4663,100193.0,Wood
4694,100195.0,Galvanized Steel
4939,100204.0,Polypropylene with Jute backing
4998,100207.0,Iron
5017,100208.0,Brass
5043,100209.0,Steel
5125,100212.0,Wood
5143,100213.0,Rubber
5159,100214.0,Concrete
5178,100215.0,Plastic
5294,100219.0,Metal
5306,100220.0,Steel
5327,100221.0,Steel
5381,100224.0,Wood
5443,100227.0,Steel
5482,100229.0,Clay
5605,100233.0,"Polytaft, fiberglass"
5644,100235.0,Aluminum
5774,100241.0,Resin
5826,100244.0,Medium Density Fiberboard (MDF)
5845,100245.0,Other
5846,100245.0,Polyester
6025,100252.0,Metal
6086,100255.0,Plastic
6125,100257.0,Wood
6179,100260.0,Wood
6250,100262.0,Bamboo
6502,100270.0,Fiberglass
6526,100271.0,Composite
6555,100272.0,Wood
6627,100276.0,Plastic
6673,100278.0,Vinyl
6846,100286.0,Aluminum
6922,100290.0,Metal
7180,100299.0,Vitreous China
7235,100301.0,PVC
7308,100304.0,Aluminum
7323,100305.0,Concrete
7338,100306.0,Steel
7536,100314.0,Engineered wood
7564,100315.0,Galvanized Steel
7692,100320.0,Vinyl
7728,100321.0,Vinyl
7768,100323.0,Metal
7846,100327.0,Medium Density Fiberboard (MDF)
7870,100328.0,Aluminum
7900,100329.0,Wood
7929,100330.0,Composite
7969,100332.0,Brass
8056,100336.0,Plastic
8074,100337.0,Laminate
8124,100340.0,Concrete
8137,100341.0,Steel
8209,100345.0,Composite
8262,100348.0,Bamboo
8278,100349.0,Metal
8293,100350.0,Fabric
8370,100354.0,Plastic
8428,100356.0,Aluminum
8536,100359.0,Laminate
8617,100363.0,Polyethylene
8754,100368.0,Ceramic
8794,100370.0,Plastic
8852,100373.0,Aluminum
8926,100376.0,Fabric
8948,100377.0,Plastic
9021,100380.0,Wire
9038,100381.0,Brass
9059,100382.0,Wood
9079,100383.0,Concrete
9161,100387.0,Wood
9179,100388.0,Vitreous China
9286,100391.0,Composite
9323,100393.0,Steel
9383,100396.0,Concrete
9410,100397.0,Steel
9488,100399.0,Vitreous China
9625,100404.0,Cable
9943,100414.0,Steel
9960,100415.0,Aluminum
10066,100420.0,Steel
10097,100421.0,Other
10120,100422.0,Brass
10218,100425.0,Wood
10274,100427.0,Vinyl
10289,100428.0,Steel
10314,100429.0,Wire
10324,100430.0,Wood
10391,100433.0,Metal
10576,100439.0,Wood
10641,100441.0,Composite
10735,100444.0,Brass
10800,100446.0,Vitreous China
10823,100447.0,Steel
10851,100448.0,Vitreous China
10869,100449.0,Steel
10918,100451.0,Other
11007,100455.0,Wood
11023,100456.0,Steel
11036,100457.0,Aluminum
11057,100458.0,Medium Density Fiberboard (MDF)
11186,100462.0,Composite
11254,100465.0,Wood
11271,100466.0,Wood
11316,100468.0,Vitreous China
11417,100472.0,Wood
11512,100475.0,Aluminum
11525,100476.0,Wood
11598,100479.0,Laminate
11782,100485.0,Stainless Steel
11821,100486.0,Metal
11864,100488.0,Plastic
12000,100494.0,Plastic
12020,100495.0,Steel
12124,100498.0,Laminate
12178,100500.0,Wood
12340,100507.0,Wood
12360,100508.0,Wood
12379,100509.0,Concrete
12493,100514.0,Zinc
12521,100515.0,"Glass,Steel"
12746,100523.0,Steel
12843,100526.0,Fibre Reinforced Polymer (FRP)
12880,100528.0,Aluminum
12955,100531.0,Steel
13054,100533.0,Galvanized Steel
13131,100537.0,Rubber
13211,100540.0,Acrylic
13232,100542.0,Other
13246,100543.0,Plastic
13370,100548.0,Plastic
13389,100549.0,Metal
13450,100552.0,Composite
13601,100558.0,Fiberglass
13619,100559.0,Other
13671,100561.0,100% Polyester
13722,100563.0,Stainless steel
13723,100563.0,Stainless Steel
13768,100565.0,Steel
13834,100568.0,Stone
13875,100569.0,Steel
13966,100573.0,Wood
14248,100584.0,Galvanized Steel
14315,100587.0,Laminated Particle Board
14445,100593.0,Steel
14475,100594.0,Acrylic
14535,100596.0,Steel
14564,100597.0,Wood
14677,100600.0,Composite
14698,100601.0,Steel
14854,100607.0,Canvas
14954,100611.0,Vitreous China
15058,100615.0,Steel
15220,100621.0,Plastic
15268,100623.0,Polypropylene
15286,100624.0,Wood
15323,100625.0,Vitreous China
15413,100628.0,Vitreous China
15478,100631.0,Steel
15511,100632.0,Vitreous China
15529,100633.0,Resin
15544,100634.0,Wire
15591,100636.0,Stainless steel
15592,100636.0,Metal
15765,100641.0,Metal
15834,100644.0,Nylon
15859,100645.0,Vinyl
15873,100646.0,Polypropylene
15897,100647.0,Plastic
15971,100649.0,Metal
16001,100650.0,Vitreous China
16126,100654.0,Porcelain
16142,100655.0,Medium Density Fiberboard (MDF)
16304,100659.0,Vitreous China
16357,100663.0,Steel
16373,100664.0,Galvanized Steel
16535,100670.0,Other
16576,100672.0,Steel
16738,100679.0,Polyester
16796,100681.0,Concrete
16812,100682.0,Wood
16974,100688.0,Composite
17030,100691.0,Metal
17144,100695.0,Wood
17261,100699.0,Solid Brass
17282,100700.0,Steel
17400,100705.0,Fiberglass and PVC
17417,100706.0,Polyester
17476,100709.0,Cement
17626,100714.0,Drywall
17642,100715.0,High Density Fiberboard (HDF)
17692,100717.0,Metal
17780,100720.0,Vinyl
17892,100725.0,Steel
17906,100726.0,Steel
17946,100728.0,Vinyl
17962,100729.0,Aluminum
18017,100731.0,Wire
18078,100733.0,Plastic
18101,100734.0,Steel
18244,100739.0,Steel
18356,100742.0,Metal
18420,100745.0,Polypropylene
18473,100747.0,Rubber
18494,100748.0,Metal
18547,100751.0,Metal
18614,100753.0,Steel
18673,100756.0,Wood
18706,100757.0,Particle Board
18834,100762.0,Vinyl
18858,100763.0,Other
18971,100767.0,Composite
18985,100768.0,Metal
19011,100769.0,Vinyl
19099,100772.0,Composite
19263,100778.0,Wood
19356,100783.0,Vinyl
19589,100790.0,Metal
19614,100791.0,Aluminum
19668,100793.0,rebond
19685,100794.0,Steel
19728,100795.0,Fiberglass
19826,100798.0,Nylon
19937,100802.0,Other
19954,100803.0,Other
20023,100805.0,Metal
20042,100806.0,Wire
20054,100807.0,Polyurethane
20153,100811.0,Brass
20241,100815.0,Plastic
20290,100818.0,Aluminum
20340,100820.0,Bamboo
20367,100821.0,Steel
20416,100823.0,Solid Brass
20425,100824.0,Plastic
20443,100825.0,Plastic
20531,100829.0,Cedar
20584,100831.0,Stone
20613,100832.0,Metal
20716,100836.0,Brass
20780,100838.0,Vinyl
20894,100842.0,Iron
20951,100845.0,Wood
21096,100851.0,Aluminum
21195,100854.0,Bamboo
21209,100855.0,Aluminum
21232,100856.0,Steel
21255,100857.0,Steel
21329,100860.0,Vinyl
21350,100861.0,Vinyl
21366,100862.0,Metal
21458,100866.0,Other
21514,100869.0,Laminate
21593,100872.0,Wood
21805,100879.0,Galvanized Steel
21860,100881.0,Zinc
21875,100882.0,Aluminum
22020,100888.0,Composite
22057,100889.0,PVC
22086,100890.0,Polypropylene
22158,100892.0,PVC
22242,100896.0,Wood
22275,100897.0,Steel
22288,100898.0,Composite
22370,100902.0,Medium Density Fiberboard (MDF)
22433,100904.0,Steel
22458,100905.0,Vinyl
22483,100906.0,Steel
22511,100907.0,Composite Wood
22532,100908.0,Steel
22582,100911.0,Medium Density Fiberboard (MDF)
22725,100916.0,Wood
22787,100918.0,Steel
22831,100920.0,Vinyl
22953,100925.0,Metal
23064,100930.0,Composite
23065,100930.0,Compression Molded Fiberglas and Resin
23083,100931.0,Aluminum
23265,100939.0,Wood
23472,100945.0,Steel
23513,100947.0,Solid Surface
23588,100950.0,Steel
23619,100952.0,Wood
23684,100954.0,Steel
23743,100957.0,"Metal, wood, fossil stone"
23764,100958.0,Other
23826,100960.0,Wood
23923,100964.0,Laminate
23946,100965.0,Steel
24056,100969.0,Polyester
24348,100982.0,Aluminized Steel
24395,100985.0,Stone
24413,100986.0,Steel
24586,100995.0,Metal
24601,100997.0,Concrete
24656,100999.0,Vitreous China
24715,101001.0,Polyethylene
24806,101005.0,Vinyl
24867,101008.0,Wood
24932,101011.0,Composite
24983,101013.0,Wood
25010,101014.0,Plastic
25035,101015.0,Wood
25051,101016.0,Concrete
25074,101017.0,Polyester
25160,101021.0,Bamboo
25417,101028.0,Concrete
25471,101030.0,Bamboo
25534,101032.0,Zinc
25601,101035.0,Aluminum
25624,101036.0,Steel
25650,101037.0,Cast Iron
25707,101039.0,Metal
25790,101042.0,Laminate
25813,101043.0,Vitreous China
25862,101045.0,Vitreous China
25881,101046.0,Plastic
25957,101049.0,Vitreous China
26061,101053.0,Composite
26118,101055.0,Concrete
26145,101056.0,Vinyl
26192,101058.0,Wire
26208,101059.0,Wood
26269,101061.0,Metal
26326,101064.0,PVC
26399,101067.0,Metal
26558,101075.0,Steel
26577,101076.0,"Composite wood, laminate, metal and glass materials"
26605,101077.0,Laminate
26621,101078.0,Vinyl
26656,101079.0,Fiberglass
26725,101082.0,Steel
27004,101094.0,Wood
27027,101096.0,Plastic
27052,101097.0,Metal
27134,101101.0,Vinyl
27167,101102.0,Vinyl
27283,101107.0,Steel
27308,101108.0,Laminated Particle Board
27331,101109.0,Wood
27464,101114.0,Vinyl
27633,101120.0,Steel
27657,101122.0,Zinc
27832,101129.0,High Density Fiberboard (HDF)
27850,101130.0,Steel
27880,101131.0,Vinyl
27988,101134.0,Resin
28001,101135.0,Medium Density Fiberboard (MDF)
28069,101138.0,Vitreous China
28087,101139.0,Wood
28125,101141.0,Wood
28285,101146.0,Zinc
28457,101151.0,Vitreous China
28475,101152.0,Metal
28496,101153.0,Wood
28592,101156.0,Plastic
28627,101157.0,PB
28655,101158.0,Metal
28722,101160.0,Composite
28780,101162.0,Stainless Steel
28851,101166.0,Vinyl
28881,101167.0,Polypropelene
28901,101168.0,Plastic
29018,101172.0,Wood
29057,101174.0,Metal
29078,101175.0,Metal
29189,101179.0,Aluminum
29234,101181.0,Wood
29250,101182.0,Composite
29324,101184.0,Vitreous China
29346,101185.0,Galvanized Steel
29347,101185.0,Steel
29435,101188.0,Wood
29642,101196.0,Stainless Steel
29671,101197.0,Laminated Particle Board
29713,101199.0,Steel
29733,101200.0,Metal
29750,101201.0,Aluminum
29871,101206.0,Medium Density Fiberboard (MDF)
29971,101210.0,Medium Density Fiberboard (MDF)
30029,101212.0,Steel
30088,101214.0,Steel
30110,101215.0,Particle Board
30199,101218.0,Plastic
30244,101220.0,Wood
30317,101223.0,Metal
30372,101225.0,Vitreous China
30416,101227.0,Steel
30537,101231.0,Wood
30560,101232.0,Polypropylene
30678,101235.0,Plastic
30751,101239.0,Glass
30795,101241.0,Aluminum
30811,101242.0,Medium Density Fiberboard (MDF)
30857,101244.0,PVC
30865,101245.0,Metal
30972,101249.0,Rubber
31000,101250.0,Other
31081,101254.0,Plastic
31183,101258.0,Other
31233,101260.0,Polypropylene
31346,101264.0,Concrete
31610,101273.0,Copper
31653,101274.0,Fiberglass
31700,101276.0,Wood
31727,101277.0,Laminate
31892,101284.0,Nylon
31963,101288.0,Metal
32034,101290.0,Solid Brass
32189,101295.0,Steel
32246,101299.0,Plastic
32278,101300.0,Steel
32332,101302.0,Vinyl
32344,101303.0,Polypropylene
32420,101307.0,Aluminum
32448,101308.0,100% post-industrial recycled synthetic fibers with a non-skid rubber backing
32470,101309.0,Steel
32486,101310.0,Aluminum
32529,101312.0,Steel
32540,101313.0,Steel
32559,101314.0,Wood
32587,101315.0,Other
32614,101316.0,Aluminum
32663,101318.0,Vinyl
32688,101319.0,Plastic
32735,101321.0,Laminate
32769,101322.0,Vitreous China
32817,101324.0,Zinc
32848,101325.0,Steel
32908,101327.0,Steel
33110,101335.0,Brass
33138,101336.0,Stainless Steel
33178,101338.0,Plastic
33231,101340.0,Metal
33250,101341.0,Laminate
33357,101345.0,Steel
33382,101346.0,MDF / Composite Wood
33408,101347.0,Vitreous China
33468,101349.0,Steel
33515,101352.0,Steel
33578,101354.0,Laminate
33595,101355.0,Plastic
33626,101356.0,Wood
33712,101360.0,Steel
33730,101361.0,Plastic
33802,101364.0,Other
33840,101366.0,Metal
33906,101369.0,Galvanized Steel
33927,101370.0,Steel
33952,101371.0,Steel
33975,101372.0,Composite
34032,101374.0,Multi-Surface
34054,101375.0,Steel
34122,101379.0,Bamboo
34201,101381.0,Metal
34335,101386.0,Concrete
34517,101392.0,Polyester
34656,101396.0,Acrylic
34774,101400.0,Vinyl
34817,101402.0,Aluminum
34839,101403.0,Zinc
34933,101408.0,Medium Density Fiberboard (MDF)
34980,101410.0,Bamboo
35000,101411.0,Aluminum
35074,101414.0,Vitreous China
35126,101416.0,Resin
35169,101418.0,Steel
35181,101419.0,Metal
35199,101420.0,Steel
35227,101421.0,Composite
35283,101423.0,Fiberglass
35494,101432.0,Wood
35555,101434.0,Fiberglass
35631,101437.0,Zinc
35715,101440.0,Galvanized Steel
35730,101441.0,Steel
35858,101446.0,Concrete
35875,101447.0,Fiberglass and PVC
35893,101448.0,Brass
35914,101449.0,Aluminum
35939,101450.0,Metal
36012,101453.0,Aluminum
36025,101454.0,Polypropylene
36126,101457.0,Stainless Steel
36188,101460.0,Wood
36298,101464.0,Fiberglass
36339,101466.0,Cement
36361,101467.0,Plastic
36415,101470.0,Steel
36519,101476.0,Plastic
36538,101477.0,Fibre Reinforced Polymer (FRP)
36565,101478.0,Aluminum
36585,101479.0,Metal
36762,101486.0,Steel
36784,101487.0,High Density Fiberboard (HDF)
36803,101488.0,Vinyl
36895,101491.0,Wood
36970,101495.0,Aluminum
36991,101496.0,"Metal, Rattan"
37030,101498.0,Wood
37054,101499.0,Steel
37126,101502.0,Plastic
37151,101503.0,Metal
37362,101510.0,Fibre Reinforced Polymer (FRP)
37435,101512.0,Metal
37460,101513.0,Steel
37545,101517.0,Wood
37749,101526.0,Aluminum
37780,101527.0,16mm Particle Board with Wood Veneer and Stainless Steel Clad Poles
37874,101531.0,Acrylic
37957,101533.0,Metal
37976,101534.0,Galvanized Steel
38050,101538.0,Nylon
38117,101540.0,Steel
38165,101542.0,Steel
38188,101543.0,Plastic
38229,101545.0,Composite
38251,101546.0,Metal
38271,101547.0,Composite
38295,101548.0,Steel
38308,101549.0,Rubber
38349,101551.0,Steel
38359,101552.0,Brass
38414,101554.0,Plastic
38430,101555.0,Aluminum
38503,101558.0,Steel
38524,101559.0,Carbon Steel
38573,101561.0,Particle Board
38642,101564.0,Steel
38662,101565.0,Wood
38684,101566.0,Metal
38822,101571.0,Metal
38872,101573.0,Metal
38942,101575.0,Metal
39033,101579.0,Stainless Steel
39094,101581.0,Metal
39158,101583.0,Galvanized Steel
39174,101584.0,Plastic
39260,101587.0,Particle Board
39364,101591.0,Galvanized Steel
39412,101593.0,Aluminum
39434,101594.0,Laminate
39543,101598.0,Steel
39638,101603.0,Plastic
39694,101605.0,Wood
39713,101606.0,Brass
39778,101608.0,Fiberglass
40033,101616.0,Zinc
40110,101619.0,Fabric
40137,101620.0,Polypropylene
40155,101621.0,Metal
40311,101626.0,Plastic
40334,101627.0,Resin
40630,101638.0,Brass
40716,101641.0,Vitreous China
40744,101642.0,Steel
40757,101643.0,Plastic
40770,101644.0,Plastic
40791,101645.0,Acrylic
40889,101649.0,Plastic
40917,101650.0,Polyurethane
41042,101655.0,Metal
41076,101657.0,Steel
41162,101660.0,Aluminum
41204,101662.0,Steel
41400,101669.0,Metal
41426,101671.0,Plastic
41447,101672.0,Foam
41688,101681.0,PVC
41710,101682.0,Steel
41844,101687.0,Steel
41908,101690.0,Aluminum
41924,101691.0,Concrete
42037,101694.0,Zinc
42055,101695.0,Plastic
42113,101697.0,Stone
42131,101698.0,Plastic
42176,101700.0,Steel
42274,101705.0,Steel
42304,101706.0,Polypropelene
42322,101707.0,High Density Fiberboard (HDF)
42338,101708.0,Wood
42360,101709.0,Vinyl
42382,101710.0,Plastic
42489,101713.0,Olefin
42523,101715.0,Wood
42541,101716.0,Concrete
42575,101718.0,Aluminum
42684,101722.0,Metal
42769,101727.0,Polyester
42805,101729.0,Steel
42825,101730.0,Plastic
42843,101731.0,Zinc
42879,101733.0,Vitreous China
42937,101736.0,Aluminum
43076,101742.0,Aluminum
43105,101743.0,Plastic
43233,101747.0,Vinyl
43340,101751.0,Steel
43448,101755.0,Solid Brass
43486,101756.0,Steel
43603,101761.0,Steel
43644,101763.0,Polypropylene
43813,101768.0,PVC
43835,101769.0,Steel
43867,101770.0,Fabric
43898,101771.0,Composite
43967,101774.0,Plastic
43986,101775.0,Wood
44066,101778.0,Metal
44093,101779.0,Wood
44147,101781.0,Steel
44208,101784.0,Plastic
44302,101787.0,"Poplar solids, Veneers, Engineered Wood"
44347,101788.0,Fiberglass
44365,101789.0,Porcelain-Coated Steel
44459,101793.0,Wood
44553,101797.0,Steel
44570,101798.0,Wood
44597,101799.0,Metal
44641,101801.0,Wood
44666,101802.0,Steel
44747,101806.0,Solid Brass
44817,101808.0,Metal
44907,101811.0,Cross-Linked Polyethylene (PEX)
45045,101816.0,Wood
45082,101818.0,Fabric
45121,101820.0,Nickel
45322,101829.0,Fiberglass
