,id,product_uid,sw_in_title_ratio,sw_in_desc_ratio,sw_in_brand_name_ratio,sw_in_material_ratio,sn_in_title_ratio,sn_in_desc_ratio,relevance
0,2,100001,1.3,1.3,0.2,0.2,0.3,0.3,3.0
1,3,100001,0.3,0.3,0.2,0.2,0.3,0.3,2.5
2,9,100002,1.3,1.3,1.0,0.3,0.3,0.3,3.0
3,16,100005,1.3,1.3,0.2,0.3,0.3,0.3,2.33
4,17,100005,2.3,2.3,0.2,0.3,0.3,0.3,2.67
5,18,100006,1.3,2.3,0.2,0.3,0.3,0.3,3.0
6,20,100006,1.3,1.3,0.2,0.3,0.3,0.3,2.67
7,21,100006,0.3,0.3,0.2,0.3,0.3,0.3,3.0
8,23,100007,2.3,2.3,1.0,0.2,0.3,0.3,2.67
9,27,100009,1.3,1.3,0.2,1.0,1.3,1.3,3.0
10,34,100010,1.3,1.3,0.2,0.2,0.3,0.3,2.67
11,35,100011,4.3,4.3,0.2,0.3,0.3,0.3,3.0
12,37,100011,2.3,2.3,0.2,0.3,0.3,0.3,3.0
13,38,100011,1.3,1.3,0.2,0.3,0.3,0.3,2.0
14,48,100012,3.3,2.3,1.0,0.2,0.3,0.3,2.67
15,51,100013,1.3,1.3,0.2,0.3,0.3,0.3,2.67
16,65,100016,2.3,2.3,0.2,0.3,0.3,0.3,3.0
17,69,100017,0.3,1.3,0.2,0.2,0.3,0.3,1.0
18,75,100017,0.3,0.3,0.2,0.2,0.3,0.3,1.67
19,81,100017,0.3,0.3,0.2,0.2,0.3,0.3,2.33
20,85,100017,0.3,1.3,0.2,0.2,0.3,0.3,2.33
21,88,100019,0.3,1.3,0.2,0.2,0.3,0.3,1.33
22,90,100019,1.3,1.3,0.2,0.2,0.3,0.3,2.67
23,92,100019,1.3,1.3,0.2,0.2,0.3,0.3,2.33
24,101,100019,1.3,1.3,0.2,1.0,0.3,0.3,1.33
25,105,100019,1.3,3.3,0.2,0.2,0.3,0.3,2.33
26,106,100019,2.3,2.3,0.2,0.2,0.3,0.3,2.33
27,113,100021,0.3,1.3,0.2,0.3,0.3,0.3,2.0
28,114,100021,0.3,1.3,0.2,0.3,0.3,0.3,2.33
29,117,100022,0.3,2.3,0.2,0.3,0.3,0.3,2.67
30,120,100022,4.3,4.3,1.0,0.3,0.3,0.3,2.0
31,122,100022,1.3,1.3,0.2,0.3,0.3,0.3,2.33
32,123,100023,1.3,1.3,0.2,1.0,0.3,0.3,3.0
33,125,100023,1.3,1.3,0.2,1.0,0.3,0.3,2.0
34,127,100023,0.3,0.3,0.2,0.2,0.3,0.3,2.0
35,136,100026,1.3,1.3,1.0,0.2,0.3,0.3,2.0
36,138,100026,1.3,1.3,0.2,0.2,0.3,0.3,2.33
37,143,100027,0.3,1.3,0.2,0.3,0.3,0.3,2.33
38,147,100028,1.3,1.3,0.2,0.2,1.3,1.3,2.0
39,149,100028,0.3,2.3,0.2,0.2,0.3,0.3,2.67
40,150,100028,0.3,0.3,0.2,0.2,0.3,0.3,1.67
41,157,100028,0.3,2.3,0.2,0.2,0.3,0.3,2.33
42,158,100028,0.3,2.3,0.2,0.2,0.3,0.3,1.67
43,162,100029,1.3,2.3,0.2,0.3,0.3,0.3,3.0
44,164,100030,0.3,0.3,0.2,0.2,2.3,0.3,1.67
45,165,100030,2.3,2.3,0.2,0.2,0.3,0.3,3.0
46,166,100030,1.3,2.3,0.2,0.2,0.3,0.3,1.67
47,172,100033,1.3,1.3,0.2,0.2,0.3,1.3,3.0
48,177,100033,3.3,3.3,1.0,1.0,0.3,0.3,3.0
49,178,100033,0.3,1.3,0.2,0.2,0.3,0.3,1.0
50,179,100033,1.3,3.3,0.2,1.0,0.3,0.3,3.0
51,181,100033,0.3,0.3,0.2,0.2,0.3,0.3,2.67
52,182,100033,0.3,1.3,0.2,0.2,0.3,0.3,2.67
53,186,100033,0.3,1.3,0.2,0.2,0.3,0.3,3.0
54,191,100033,1.3,2.3,0.2,0.2,0.3,0.3,2.67
